"fit.data.JPM","fit.data.WFC","fit.data.C","fit.data.USB","XLF.close"
52.75,42.959999,51.950001,37.709999,20.62
52.799999,42.849998,51.209999,37.849998,20.43
51.459999,42.310001,49.57,37.360001,20.139998
50.32,41.73,48.959999,36.900002,20.009999
51.700001,41.810001,49.259998,36.759998,20.120001
51.889999,41.610001,48.93,36.540001,20.120001
52.240002,41.59,48.889999,36.5,20.049999
51.689999,41.32,48.509998,36.580002,19.909998
51.959999,41.490002,48.599998,36.709999,20.049999
52.09,41.259998,48.709999,36.389999,20.039999
51.939999,41,48.400002,36.349998,19.889998
52.669998,41.299999,49.139999,36.619999,20.049999
51.830002,40.619999,48.18,36.130001,19.819999
50.869999,40.240002,47.669998,35.700001,19.569999
50.75,40.360001,47.950001,35.959999,19.639998
52.52,41.439999,49.27,36.939999,20.2
52.509998,41.43,49.220001,37.049999,20.309999
52.709999,41.75,49.599998,37.18,20.409998
52.310001,41.540001,48.860001,36.880001,20.259999
54,42.209999,50.84,37.240002,20.69
54.209999,42.68,51.119999,37.68,20.87
54.299999,42.68,51.150002,37.919998,20.91
54.27,42.619999,51.029999,38.060001,20.87
53.619999,42.939999,50.759998,38.07,20.91
52.75,42.759998,50.189999,37.98,20.739999
52.48,42.689999,50.150002,37.799999,20.769999
52.77,42.860001,50.060001,37.830002,20.86
52.68,42.830002,50.150002,37.759998,20.809999
52.73,42.959999,50.220001,37.830002,20.87
52.599998,43.099998,49.889999,37.759998,20.790001
51.540001,42.689999,48.779999,37.360001,20.569999
52.509998,42.669998,48.740002,37.369999,20.62
52.040001,42.700001,48.630001,37.540001,20.629998
51.950001,42.630001,48.380001,37.669998,20.519999
52.099998,42.439999,48.619999,37.919998,20.62
51.650002,41.709999,48.349998,37.470001,20.389998
53.959999,42.709999,49.939999,38.080002,20.86
54.099998,42.75,50.169998,37.939999,20.87
53.970001,42.279999,49.52,37.75,20.67
54.139999,42.759998,49.990002,38.02,20.850001
54.400002,43.09,50.209999,38.279999,21.029999
54.869999,43.540001,50.400002,38.310001,21.129998
55.740002,43.41,50.790001,38.330002,21.12
56.150002,43.560001,51.169998,38.66,21.149998
56.099998,43.619999,50.77,38.740002,21.089998
57.220001,44.080002,51.73,38.860001,21.389998
57.459999,44.360001,52.41,38.950001,21.489999
57.650002,44.48,53.290001,39.209999,21.519999
57.169998,44.310001,53.009998,39.27,21.499999
57.48,44.27,53.049999,39.349998,21.559998
57.220001,44.02,52.919998,39.220001,21.479999
56.98,44.18,52.619999,39.209999,21.469999
56.860001,43.73,52.130001,38.52,21.249999
57.189999,43.75,52.040001,39,21.299998
55.82,43.25,51.060001,38.610001,21.1
56.060001,44.110001,51.490002,39.66,21.389998
56.509998,44.32,52.110001,39.740002,21.479999
56.700001,44.110001,51.740002,39.419998,21.399998
56.07,43.52,50.709999,39.040001,21.11
56.310001,43.5,50.91,39.200001,21.11
56.169998,43.73,50.970001,39.060001,21.129998
56.419998,43.98,50.900002,39.380001,21.259999
55.720001,43.59,50.689999,39.119999,21.12
57.240002,44.93,51.959999,40.119999,21.61
57.23,45.02,51.880001,40.040001,21.579998
57.700001,44.959999,52.209999,40.049999,21.61
58.240002,45.209999,52.41,40.490002,21.709999
58.25,45.389999,52.43,40.599998,21.749999
58.200001,45.540001,52.349998,40.52,21.799998
58.139999,45.5,52.259998,40.369999,21.790001
57.950001,45.5,51.919998,40.27,21.749999
58.48,45.400002,52.110001,40.400002,21.86
58.209999,45.02,52.27,39.889999,21.739999
58.66,45.34,53.400002,40.060001,21.889997
59,45.419998,53.810001,40.59,21.91
58.32,45.400002,54.18,40.93,21.919999
58.869999,45.919998,54.810001,41.09,21.989999
58.759998,46.16,55.200001,41.34,22.069998
58.490002,45.939999,54.720001,41.02,22.030001
57.700001,45.560001,53.720001,40.779999,21.699999
57.740002,45.59,53.950001,40.889999,21.879998
59.490002,46.400002,54.990002,41.5,22.139997
58.990002,46.389999,52.599998,41.459999,21.999999
58.110001,46.389999,52.27,41.450001,21.929999
58.169998,46.5,51.849998,41.580002,21.949999
57.59,46.669998,51.900002,41.439999,21.959999
56.470001,46.349998,50.720001,40.720001,21.6
55.09,45.48,49.330002,40.139999,21.11
55.09,45.529999,48.810001,40.040001,20.979999
55.740002,45.959999,49.599998,40.540001,21.259999
55.529999,45.59,48.080002,39.759998,21.009999
56,46.049999,48.299999,40.119999,21.309998
55.360001,45.34,47.43,39.73,21.059998
54.310001,44.43,46.34,38.779999,20.529999
54.950001,44.77,46.779999,39.110001,20.729999
55.209999,44.23,47.060001,39.110001,20.709997
56.48,44.779999,48.25,39.810001,21.029999
56.619999,45.369999,49.34,40,21.290001
56.740002,45.52,49.32,40.080002,21.309998
57.43,45.970001,49.66,40.290001,21.529999
57.52,45.990002,49.959999,40.349998,21.529999
58.029999,45.98,49.860001,40.27,21.61
